"","NUTS_ID","Kod_GUS","Nazwa","Rok","TFR","ludnosc_ogolem_ogÛ≥em","ludnosc_ogolem_wiek_rozrodczy","ludnosc_ogolem_wiek_produkcyjny","ludnosc_kobiety_ogÛ≥em","ludnosc_kobiety_wiek_rozrodczy","ludnosc_kobiety_wiek_produkcyjny","ludnosc_mezczyzni_ogÛ≥em","ludnosc_mezczyzni_wiek_rozrodczy","ludnosc_mezczyzni_wiek_produkcyjny","bezrobotni_ogÛ≥em","bezrobotni_mÍøczyüni","bezrobotni_kobiety","wynagrodzenia","cena_mieszkan_metr_mediana","cena_mieszkan_metr_srednia","mieszkania_oddane","mieszkania_przecietna_powierzchnia","mieszkania_izby","mieszkania_nowe","rozwody","rozwody_na_10_tys","separacje","separacje_na_10_tys","swiadczenia_500_plus","swiadczenia_spoleczne","wspolczynnik_feminizacji","zlobki","malzenstwa_zawarte","ludnosc_na_1km2","gestosc_zaludnienia_pow_zabudowana","zmiana_liczby_ludnosci","ludnosc_tys","ludnosc_tys_mezczyzni","ludnosc_tys_kobiety","praca_ogolem_ogÛ≥em","praca_ogolem_mÍøczyüni","praca_ogolem_kobiety","praca_rolnictwo_ogÛ≥em","praca_rolnictwo_mÍøczyüni","praca_rolnictwo_kobiety","praca_przemysl_na_10_tys_ogÛ≥em","praca_przemysl_na_10_tys_mÍøczyüni","praca_przemysl_na_10_tys_kobiety","praca_handel_ogÛ≥em","praca_handel_mÍøczyüni","praca_handel_kobiety","praca_finanse_ogÛ≥em","praca_finanse_mÍøczyüni","praca_finanse_kobiety","praca_pozostale_na_10_tys_ogÛ≥em","praca_pozostale_na_10_tys_mÍøczyüni","praca_pozostale_na_10_tys_kobiety","zgony_kobiety","zgony_mezczyzni","zgony_ogolem","dochody_ogolem","dochody_wlasne","dochody_podatki","dochody_podatki_osoby_fizyczne","dochody_podatki_osoby_prawne","dochody_podatki_pozostale","swiadczenia_ogolem"
"670","PL913","071413000000","PODREGION WARSZAWSKI ZACHODNI",2021,1.501,701043,332409,413088,363248,167864,208767,337795,164545,204321,9536,4868,4668,6350.07,6189,6042,10.2,118.9,4.5,6.4,1041,14.9,7,0.1,872028850,136630,108,187,4.1,285,NA,9.1,701.04,337.8,363.25,193474,101388,92086,8782,4870,3912,59135,38628,20507,69665,41311,28354,4584,1641,2943,51308,14938,36370,3805,4156,7961,7655.99,4480.23,NA,2146.46,165.05,1280.09,872165480
"671","PL922","071422500000","PODREGION CIECHANOWSKI",2012,1.402,346379,171424,222620,175738,82662,108187,170641,88762,114433,25445,13348,12097,3083.53,2964,2911,2.6,117.1,4.7,1.9,483,13.9,12,0.35,NA,89741,103,NA,5.5,66,1988,-1.8,346.38,170.64,175.74,91764,45574,46190,39080,21569,17511,21018,13260,7758,9855,5154,4701,1692,498,1194,20119,5093,15026,1682,2024,3706,2995.7,1197.05,NA,430.1,23.99,457.75,NA
"672","PL922","071422500000","PODREGION CIECHANOWSKI",2013,1.361,345254,169846,220605,175145,81822,107094,170109,88024,113511,25990,13668,12322,3184.93,3051,2953,3.9,101.1,4.5,2.3,425,12.3,9,0.26,NA,85697,103,NA,4.9,66,1932,-3.3,345.25,170.11,175.15,92461,45536,46925,39198,21607,17591,20954,13255,7699,10125,5186,4939,1812,528,1284,20372,4960,15412,1801,2107,3908,3118.26,1308.82,NA,449.95,31.25,496.27,NA
"673","PL922","071422500000","PODREGION CIECHANOWSKI",2014,1.403,344475,168656,218561,174735,81178,106023,169740,87478,112538,23081,12055,11026,3287.94,2983,2923,3.5,100.4,4.5,2,516,15,4,0.12,NA,78494,103,16,4.9,66,1887,-2.3,344.48,169.74,174.74,93807,45818,47989,39446,21746,17700,20378,12652,7726,10856,5715,5141,1760,536,1224,21367,5169,16198,1809,2038,3847,3233.83,1422.15,NA,490.01,18.39,514.03,NA
"674","PL922","071422500000","PODREGION CIECHANOWSKI",2015,1.367,343728,167308,216046,174484,80538,104799,169244,86770,111247,21343,10933,10410,3416.7,2993,2860,3.3,94.2,4.2,1.8,465,13.5,9,0.26,NA,84276,103,17,5.3,65,NA,-2.2,343.73,169.24,174.48,93955,46098,47857,39531,21786,17745,20173,12760,7413,11194,5806,5388,1692,502,1190,21365,5244,16121,1780,2070,3850,3389.58,1499.8,NA,527.29,16.27,537.92,NA
"675","PL922","071422500000","PODREGION CIECHANOWSKI",2016,1.398,343199,166127,213580,174317,79948,103593,168882,86179,109987,18281,9061,9220,3553.58,3096,2951,3,97.1,4.4,1.7,420,12.2,6,0.17,NA,106468,103,29,5.2,65,NA,-1.5,343.2,168.88,174.32,96515,47464,49051,39728,21865,17863,21407,13578,7829,12028,6130,5898,1654,499,1155,21698,5392,16306,1693,2005,3698,3912.76,1538.57,NA,569.63,26.67,557.52,NA
"676","PL922","071422500000","PODREGION CIECHANOWSKI",2017,1.496,342111,164562,210620,173735,79246,102173,168376,85316,108447,14633,6832,7801,3772.07,3042,2892,3.5,90.5,4.3,1.8,540,15.8,5,0.15,252246629,110478,103,30,5,65,NA,-3.2,342.11,168.38,173.74,97425,48664,48761,39930,22110,17820,21795,14181,7614,12444,6448,5996,1568,480,1088,21688,5445,16243,1831,2157,3988,4273.01,1665.26,NA,629.14,22.22,600.14,252357107
"677","PL922","071422500000","PODREGION CIECHANOWSKI",2018,1.473,340934,162728,207644,173172,78316,100831,167762,84412,106813,13762,6251,7511,4071.58,3019,2935,3.4,92.3,4.1,1.7,502,14.7,8,0.23,238019433,110034,103,40,5.2,65,NA,-3.4,340.93,167.76,173.17,98104,48833,49271,39759,22073,17686,22047,14343,7704,12342,6312,6030,1665,526,1139,22291,5579,16712,1866,2115,3981,4655.78,1766.44,NA,713.62,32.18,591.31,238129467
"678","PL922","071422500000","PODREGION CIECHANOWSKI",2019,1.47,339442,160630,204247,172352,77218,99108,167090,83412,105139,12818,5773,7045,4413.7,3397,3321,4.5,84.4,3.8,1.7,521,15.3,7,0.21,297670672,111327,103,58,4.7,65,NA,-4.4,339.44,167.09,172.35,98052,48673,49379,39794,22085,17709,21836,14182,7654,12803,6633,6170,1558,497,1061,22061,5276,16785,1818,2084,3902,5204.04,2039.31,NA,822.06,38,618.34,297781999
"679","PL922","071422500000","PODREGION CIECHANOWSKI",2020,1.526,330532,151364,193836,167937,72600,93912,162595,78764,99924,13883,6499,7384,4769.07,3767,3733,4.7,89.5,3.9,2,402,12.1,2,0.06,365849786,119223,103,60,4,63,NA,-26.3,330.53,162.6,167.94,87718,43896,43822,28259,16448,11811,22903,14862,8041,12707,6508,6199,1475,471,1004,22374,5607,16767,2175,2451,4626,5873.28,2392.43,NA,831.77,45.02,689.49,365969009
